Coefficient;OTU;Phylum;Class;Order;Family;Genus;Value;Std.Error;DF;t-value;p-value;p.adjust;log10p;Change
M6;Otu000410;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;unclassified;1.543393129;0.321263734;126;4.804131209;4.34E-06;0.0001574;3.802994847;Increased
M3;Otu000414;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Holdemania;0.978032454;0.354245871;126;2.760885968;0.006625987;0.043268127;1.363831902;Increased
M6;Otu000422;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Howardella;0.929193529;0.328753119;126;2.826417383;0.005476113;0.039167442;1.407074792;Increased
M3;Otu000433;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;unclassified;1.443931667;0.449062211;126;3.215437931;0.001654925;0.015920375;1.798046718;Increased
M6;Otu000433;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;unclassified;1.771599522;0.443626068;126;3.993452251;0.000109968;0.002250839;2.647655592;Increased
M6;Otu000436;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;unclassified;1.135892055;0.278478082;126;4.078928031;7.97E-05;0.001762016;2.75399007;Increased
Before;Otu000437;unclassified;unclassified;unclassified;unclassified;unclassified;1.002772834;0.343550517;126;2.918851184;0.004162471;0.032163028;1.492643073;Increased
Before;Otu000450;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;unclassified;1.146685245;0.402999209;126;2.845378401;0.005179187;0.03765998;1.424119915;Increased
M6;Otu000464;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;unclassified;1.197822363;0.339786846;126;3.525216988;0.000590629;0.007891454;2.102842951;Increased
M3;Otu000469;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;1.067191355;0.355874179;126;2.998788387;0.003266819;0.027092068;1.567157836;Increased
M6;Otu000469;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;2.007651888;0.373015004;126;5.382228234;3.46E-07;1.96E-05;4.707882544;Increased
